code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""Psychotropic""	""group""	""database""",
"""496741000033118""",UNKNOWN,true,"""Edronax 4mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Reboxetine""	""4.000mg""	""Reboxetine""	""Antidepressants""	""Aurum""",
"""498441000033112""",UNKNOWN,true,"""Efexor XL 75mg capsules""	""Modified-release capsule""	""Oral""	""Venlafaxine""	""75.000mg""	""Venlafaxine""	""Antidepressants""	""Aurum""",
"""498541000033113""",UNKNOWN,true,"""Efexor XL 150mg capsules""	""Modified-release capsule""	""Oral""	""Venlafaxine""	""150.000mg""	""Venlafaxine""	""Antidepressants""	""Aurum""",
"""498941000033119""",UNKNOWN,true,"""Efalith ointment""	""Ointment/ Cutaneous ointment""	""Cutaneous""	""Lithium""	""80.000mg/1.000gram + 500.000microgram/1.000gram""	""Lithium""	""Mood Stabilisers""	""Aurum""",
"""499041000033111""",UNKNOWN,true,"""Efexor 37.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Venlafaxine""	""37.500mg""	""Venlafaxine""	""Antidepressants""	""Aurum""",
"""499141000033110""",UNKNOWN,true,"""Efexor 75mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Venlafaxine""	""75.000mg""	""Venlafaxine""	""Antidepressants""	""Aurum""",
"""499241000033115""",UNKNOWN,true,"""Efexor 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Venlafaxine""	""50.000mg""	""Venlafaxine""	""Antidepressants""	""Aurum""",
"""529541000033117""",UNKNOWN,true,"""Epilim Intravenous 400mg powder and solvent for solution for injection vials""	""Powder and solvent for solution for injection""	""Intravenous""	""Valproate""	""400.000mg""	""Valproate""	""Mood Stabilisers""	""Aurum""",
"""529641000033116""",UNKNOWN,true,"""Epilim 200mg/5ml liquid""	""Oral solution""	""Oral""	""Valproate""	""40.000mg/1.000ml""	""Valproate""	""Mood Stabilisers""	""Aurum""",
"""529841000033115""",UNKNOWN,true,"""Epilim Chrono 200 tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""200.000mg""	""Valproate""	""Mood Stabilisers""	""Aurum""",
"""529941000033111""",UNKNOWN,true,"""Epilim Chrono 300 tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""300.000mg""	""Valproate""	""Mood Stabilisers""	""Aurum""",
"""530041000033115""",UNKNOWN,true,"""Epilim Chrono 500 tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""500.000mg""	""Valproate""	""Mood Stabilisers""	""Aurum""",
"""532141000033115""",UNKNOWN,true,"""Epilim 200mg/5ml syrup""	""Oral solution""	""Oral""	""Valproate""	""40.000mg/1.000ml""	""Valproate""	""Mood Stabilisers""	""Aurum""",
"""532541000033112""",UNKNOWN,true,"""Epilim 100mg crushable tablets""	""Tablet/ Oral Tablet""	""Oral""	""Valproate""	""100.000mg""	""Valproate""	""Mood Stabilisers""	""Aurum""",
"""532641000033113""",UNKNOWN,true,"""Epilim 200 gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""200.000mg""	""Valproate""	""Mood Stabilisers""	""Aurum""",
"""532741000033116""",UNKNOWN,true,"""Epilim 500 gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""500.000mg""	""Valproate""	""Mood Stabilisers""	""Aurum""",
"""561941000033115""",UNKNOWN,true,"""Faverin 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Fluvoxamine""	""100.000mg""	""Fluvoxamine""	""Antidepressants""	""Aurum""",
"""563341000033115""",UNKNOWN,true,"""Faverin 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Fluvoxamine""	""50.000mg""	""Fluvoxamine""	""Antidepressants""	""Aurum""",
"""567141000033111""",UNKNOWN,true,"""Fentazin  Injection  5 mg/ml""	""Solution for injection""	""Intramuscular""	""Perphenazine""	NA	""Perphenazine""	""Antipsychotics""	""Aurum""",
"""570941000033117""",UNKNOWN,true,"""Fentazin 2mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Perphenazine""	""2.000mg""	""Perphenazine""	""Antipsychotics""	""Aurum""",
"""571041000033110""",UNKNOWN,true,"""Fentazin 4mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Perphenazine""	""4.000mg""	""Perphenazine""	""Antipsychotics""	""Aurum""",
"""571141000033114""",UNKNOWN,true,"""Fentazin  Tablets  8 mg""	""Tablet""	""Oral""	""Perphenazine""	NA	""Perphenazine""	""Antipsychotics""	""Aurum""",
