code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""dmdcode""	""gemscriptcode""	""productname""	""drugsubstance""	""strength""	""formulation""	""route""	""bnfcode""	""bnfchapter""	""Statin""",
"""47065""",UNKNOWN,true,"19722511000001104	""00573021""	""Atorvastatin 20mg chewable tablets sugar free""	""Atorvastatin calcium trihydrate""	""20mg""	""Chewable tablet""	""Oral""	""00000000""	""Unknown""	""Atorvastatin""",
"""47090""",UNKNOWN,true,"19722411000001104	""00569021""	""Atorvastatin 10mg chewable tablets sugar free""	""Atorvastatin calcium trihydrate""	""10mg""	""Chewable tablet""	""Oral""	""00000000""	""Unknown""	""Atorvastatin""",
"""47630""",UNKNOWN,true,"19719611000001108	""00575021""	""Lipitor 20mg chewable tablets (Pfizer Ltd)""	""Atorvastatin calcium trihydrate""	""20mg""	""Chewable tablet""	""Oral""	""00000000""	""Unknown""	""Atorvastatin""",
"""47721""",UNKNOWN,true,"19719311000001104	""00571021""	""Lipitor 10mg chewable tablets (Pfizer Ltd)""	""Atorvastatin calcium trihydrate""	""10mg""	""Chewable tablet""	""Oral""	""02120400""	""Statins""	""Atorvastatin""",
"""47774""",UNKNOWN,true,"10413811000001104	""66058020""	""Simvastatin 10mg tablets (Arrow Generics Ltd)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""47948""",UNKNOWN,true,"13762911000001108	""66323020""	""Simvastatin 10mg tablets (Tillomed Laboratories Ltd)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""47988""",UNKNOWN,true,"8113311000001107	""68735020""	""Pravastatin 40mg tablets (Mylan)""	""Pravastatin sodium""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Pravastatin""",
"""48018""",UNKNOWN,true,"10414011000001106	""66063020""	""Simvastatin 20mg tablets (Arrow Generics Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""48051""",UNKNOWN,true,"4466911000001104	""65957020""	""Simvastatin 10mg tablets (Kent Pharmaceuticals Ltd)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""48058""",UNKNOWN,true,"4465011000001107	""69800020""	""Simvastatin 10mg tablets (Ranbaxy (UK) Ltd)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""48078""",UNKNOWN,true,"4436811000001101	""65932020""	""Simvastatin 10mg tablets (Actavis UK Ltd)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""48097""",UNKNOWN,true,"7943611000001104	""68278020""	""Pravastatin 40mg tablets (Teva UK Ltd)""	""Pravastatin sodium""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Pravastatin""",
"""48221""",UNKNOWN,true,"17369311000001104	""37402020""	""Simvastatin 20mg/5ml oral suspension sugar free""	""Simvastatin""	""4mg/1ml""	""Oral suspension""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
