"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antiplatelets"
"85163"	4	"Aspirin 75mg gastro-resistant tablets (Dexcel-Pharma Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"12976"	7491	"Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free"	"Aspirin"	"10mg + 900mg"	"Powder for oral solution"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"80481"	40	"Aspirin 75mg Dispersible tablet (Numark Management Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"572"	368	"Ticlopidine 250mg tablets"	"Ticlopidine"	"250mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Ticlopidine"
"16611"	2	"Anadin Tablet (Wyeth Consumer Healthcare)"	"Aspirin"	"325mg + 15mg"	"Oral tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"33139"	2	"Anadin maximum strength Capsule (Wyeth Consumer Healthcare)"	"Aspirin"	NA	"Capsule"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"77103"	0	"Dipyridamole 50mg/5ml oral suspension sugar free (Pinewood Healthcare)"	"Dipyridamole"	"10mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"32178"	1	"Paracetamol 133mg with aspirin 267mg & caffeine 40mg effervescent tablet"	"Aspirin"	"133mg + 267mg +40mg"	"Effervescent Tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"2105"	38	"Solprin 300mg Tablet (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"1814"	520912	"Dipyridamole 100mg tablets"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"60777"	1	"Aspirin 75mg gastro-resistant tablets (DE Pharmaceuticals)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"76572"	0	"Aspirin 300mg suppositories (Martindale Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Suppository"	"Rectal"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"52761"	173	"Clopidogrel 75mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"685"	14257	"Aspav dispersible tablets (Actavis UK Ltd)"	"Aspirin"	"500mg + 7.71mg"	"Dispersible tablet"	"Oral"	"Unknown"	"Aspirin"
"7915"	825	"ASPIRIN SR 100 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"8734"	181	"ASPIRIN disp 37.5 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"30976"	25	"Modaplate 100mg Tablet (Berk Pharmaceuticals Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"62855"	3	"Clopidogrel 75mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"30695"	1	"ASPIRIN 120 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"Unknown"	"Aspirin"
