"medcode"	"Term"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"33426"	"Other and unspecified manic-depressive psychoses NOS"	"E11yz"	"E11yz00"	"bipolar"	83	0	1	0	"February 2009"
"55236"	"[X]Paranoia querulans"	"Eu22y-3"	"Eu22y13"	"other psychosis"	14	0	2	0	"February 2009"
"14728"	"Single manic episode, mild"	"E1101"	"E110100"	"bipolar"	4024	0	579	0	"February 2009"
"49852"	"[X]Pseudoneurotic schizophrenia"	"Eu21-6"	"Eu21.16"	"other psychosis"	11	0	0	0	"February 2009"
"57605"	"Bipolar affective disorder, currently manic, NOS"	"E114z"	"E114z00"	"bipolar"	109	0	2	0	"February 2009"
"37681"	"[X]Schizoaffective disorder, unspecified"	"Eu25z"	"Eu25z00"	"other psychosis"	1027	0	1	0	"February 2009"
"24689"	"Mixed bipolar affective disorder, mild"	"E1161"	"E116100"	"bipolar"	44	0	0	0	"February 2009"
"16764"	"[X]Paranoid schizophrenia"	"Eu200"	"Eu20000"	"schizophrenia"	2895	0	36	0	"February 2009"
"20228"	"Reactive psychoses"	"E13-1"	"E13..11"	"other psychosis"	406	0	36	4	"February 2009"
"61098"	"Subchronic schizo-affective schizophrenia"	"E1071"	"E107100"	"other psychosis"	12	0	0	0	"February 2009"
"24345"	"Psychogenic paranoid psychosis"	"E134"	"E134.00"	"other psychosis"	93	0	1	0	"February 2009"
"14965"	"Nonorganic psychosis NOS"	"E13z"	"E13z.00"	"other psychosis"	13268	0	1711	0	"February 2009"
"51322"	"Acute exacerbation of subchronic paranoid schizophrenia"	"E1033"	"E103300"	"schizophrenia"	23	0	0	0	"February 2009"
"27739"	"Recurrent manic episodes, moderate"	"E1112"	"E111200"	"bipolar"	36	0	0	0	"February 2009"
"70884"	"[X]Brief schizophrenifrm psych"	"Eu232-2"	"Eu23212"	"other psychosis"	6	0	0	0	"February 2009"
